game.frametime_average,game.frametime_variance,game.time,network.acks_received,network.acks_sent,network.adapter,network.bytes_received,network.bytes_sent,network.connects,network.connects_received,network.connects_rejected,network.connects_sent,network.disconnects,network.messages_limited,network.messages_received,network.messages_redundant,network.messages_resent,network.messages_sent,network.never_connected,network.packets_acked,network.packets_limited,network.packets_lost,network.packets_outofseq,network.packets_received,network.packets_sent,network.peer_address,network.peer_port,network.processing_time,network.reconnects,network.reconnects_rejected,network.rtt_average,network.rtt_jitter,network.status,player.id,stats.duration,stats.version,
0.016687,0.000000,1056.162720,193,306,Ethernet,52605,15990,0,0,0,0,0,0,1418,0,0,242,0,193,0,0,0,499,499,138.0.15.115,5102,0.016568,0,0,0.070024,0.001957,Connected,2591139810092352,10.012451,7,
0.016688,0.000000,1066.174683,227,313,Ethernet,80284,19934,0,0,0,0,0,0,2253,0,0,305,0,227,0,0,0,540,541,138.0.15.115,5102,0.019659,0,0,0.069732,0.002079,Connected,2591139810092352,10.012526,7,
0.016687,0.000000,1076.186890,274,366,Ethernet,117820,23124,0,0,0,0,0,0,2952,0,0,390,0,274,0,0,0,640,640,138.0.15.115,5102,0.022148,0,0,0.069972,0.001940,Connected,2591139810092352,10.012489,7,
0.016696,0.000000,1086.187500,284,392,Ethernet,128109,24607,0,0,0,0,0,0,3965,0,0,434,0,284,0,0,0,676,676,138.0.15.115,5102,0.024466,0,0,0.069684,0.002173,Connected,2591139810092352,10.001041,7,
0.016688,0.000000,1096.199829,278,325,Ethernet,83913,21043,0,0,0,0,0,0,2696,0,0,368,0,278,0,0,0,603,604,138.0.15.115,5102,0.022028,0,0,0.070007,0.001978,Connected,2591139810092352,10.012550,7,
0.016688,0.000000,1106.211792,268,322,Ethernet,78036,20262,0,0,0,0,0,0,2220,0,0,366,0,268,0,0,0,590,589,138.0.15.115,5102,0.020728,0,0,0.069894,0.001926,Connected,2591139810092352,10.012547,7,
0.016696,0.000000,1116.212036,295,356,Ethernet,105249,23894,0,0,0,0,0,0,2421,0,0,425,0,295,0,0,0,651,650,138.0.15.115,5102,0.022308,0,0,0.069826,0.001914,Connected,2591139810092352,10.000689,7,
0.016720,0.000001,1126.226929,286,382,Ethernet,124169,24283,0,0,0,0,0,0,2831,0,0,439,0,286,0,0,0,668,670,138.0.15.115,5102,0.022651,0,0,0.069867,0.002013,Connected,2591139810092352,10.015244,7,
0.016761,0.000002,1136.233032,294,403,Ethernet,142168,24929,0,0,0,0,0,0,3659,0,0,442,0,294,0,0,0,697,697,138.0.15.115,5102,0.023791,0,0,0.069880,0.002212,Connected,2591139810092352,10.006350,7,
0.016706,0.000000,1146.239624,256,423,Ethernet,140702,22985,0,0,0,0,0,0,3834,0,0,379,0,256,0,0,0,679,679,138.0.15.115,5102,0.022120,0,0,0.069804,0.001936,Connected,2591139810092352,10.007046,7,
0.016691,0.000000,1156.253540,258,345,Ethernet,93875,19622,0,0,0,0,0,0,2410,0,0,355,0,258,0,0,0,603,601,138.0.15.115,5102,0.020812,0,0,0.069734,0.001905,Connected,2591139810092352,10.014403,7,
0.016695,0.000000,1166.253174,250,346,Ethernet,86696,19363,0,0,0,0,0,0,2313,0,0,335,0,250,0,0,0,596,597,138.0.15.115,5102,0.020438,0,0,0.070086,0.001874,Connected,2591139810092352,10.000081,7,
0.016688,0.000000,1176.265137,234,324,Ethernet,63962,18360,0,0,0,0,0,0,2149,0,0,306,0,234,0,0,0,558,557,138.0.15.115,5102,0.019366,0,0,0.069858,0.001926,Connected,2591139810092352,10.012507,7,
0.016687,0.000000,1186.276733,274,345,Ethernet,106182,25376,0,0,0,0,0,0,2235,0,0,402,0,274,0,0,0,619,619,138.0.15.115,5102,0.021782,0,0,0.070063,0.001995,Connected,2591139810092352,10.012390,7,
0.016687,0.000000,1196.288940,301,325,Ethernet,87354,22205,0,0,0,0,0,0,2909,0,0,404,0,301,0,0,0,626,627,138.0.15.115,5102,0.023156,0,0,0.069868,0.001863,Connected,2591139810092352,10.012447,7,
0.016692,0.000000,1206.303833,293,336,Ethernet,85459,21899,0,0,0,0,0,0,3060,0,0,388,0,293,0,0,0,629,628,138.0.15.115,5102,0.023125,0,0,0.069904,0.001948,Connected,2591139810092352,10.015217,7,
0.016703,0.000000,1216.308350,285,332,Ethernet,101707,24112,0,0,0,0,0,0,2710,0,0,402,0,285,0,0,0,617,619,138.0.15.115,5102,0.023020,0,0,0.069829,0.001891,Connected,2591139810092352,10.004820,7,
0.016695,0.000000,1226.307983,267,367,Ethernet,119069,22968,0,0,0,0,0,0,2744,0,0,380,0,267,0,0,0,634,633,138.0.15.115,5102,0.021417,0,0,0.069678,0.001991,Connected,2591139810092352,10.000288,7,
0.016699,0.000000,1236.310425,285,328,Ethernet,94180,19847,0,0,0,0,0,0,2157,0,0,355,0,285,0,0,0,613,613,138.0.15.115,5102,0.020467,0,0,0.069928,0.001766,Connected,2591139810092352,10.002807,7,
0.016709,0.000000,1246.318970,259,364,Ethernet,118128,20421,0,0,0,0,0,0,2600,0,0,352,0,259,0,0,0,623,623,138.0.15.115,5102,0.020368,0,0,0.069861,0.001973,Connected,2591139810092352,10.008878,7,
0.016722,0.000000,1256.335083,259,433,Ethernet,151105,22972,0,0,0,0,0,0,3907,0,0,372,0,259,0,0,0,692,692,138.0.15.115,5102,0.022411,0,0,0.070127,0.002117,Connected,2591139810092352,10.016494,7,
0.016690,0.000000,1266.348389,270,388,Ethernet,122552,22721,0,0,0,0,0,0,3058,0,0,372,0,270,0,0,0,658,659,138.0.15.115,5102,0.022081,0,0,0.069892,0.002106,Connected,2591139810092352,10.013799,7,
0.016688,0.000000,1276.360718,303,337,Ethernet,85506,23117,0,0,0,0,0,0,2267,0,0,408,0,303,0,0,0,640,640,138.0.15.115,5102,0.022433,0,0,0.069981,0.002018,Connected,2591139810092352,10.012508,7,
0.016688,0.000000,1280.198608,73,67,Ethernet,8580,4782,0,0,0,0,1,0,115,0,0,82,0,73,0,0,0,140,143,138.0.15.115,5102,0.008881,0,0,0.069892,0.001946,Connected,2591139810092352,1382.426084,7,
