2022-03-17T15-24-47: LogOut_File: : logfile started
2022-03-17T15-24-47: Net Status: low-level initialize success.
2022-03-17T15-24-47: Note: this version (1/29/2017) has new data fields added
2022-03-17T15-24-47: time = time since start of game in ms.
2022-03-17T15-24-47: address = address of IP address
2022-03-17T15-24-47: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2022-03-17T15-24-47: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2022-03-17T15-24-47: app_ctos = client to server bytes delta excluding overheads (app data only)
2022-03-17T15-24-47: app_stoc = server to client bytes delta excluding overheads (app data only)
2022-03-17T15-24-47: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2022-03-17T15-24-47: sent = number of packets sent. Spikes can indicate lag.
2022-03-17T15-24-47: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2022-03-17T15-24-47: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2022-03-17T15-24-47: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2022-03-17T15-24-47: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2022-03-17T15-24-47: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2022-03-17T15-24-47: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2022-03-17T15-24-47: Latency in Window = The average Latency in ms. of Reliable packets during this time slice
2022-03-17T15-24-47: Packet Loss percentage in Window = The packet loss percentage of Reliable packets during this time slice
2022-03-17T15-24-47: Jitter in Window = The average Jitter in ms. of Reliable packets during this time slice
2022-03-17T15-24-47: Overall Latency Min = The lowest Latency seen in ms. of Reliable packets up to this point in time
2022-03-17T15-24-47: Overall Latency Max = The largest Latency seen in ms. of Reliable packets up to this point in time
2022-03-17T15-24-47: Latency Min in Window = The lowest Latency seen in ms. of Reliable packets during this time slice
2022-03-17T15-24-47: Latency Max in Window = The largest Latency seen in ms. of Reliable packets during this time slice
2022-03-17T15-24-47: Latency packet samples = number of packets used in determining average latency from start of game
2022-03-17T15-24-47: Jitter packet samples = number of packets used in determining average jitter from start of game
2022-03-17T15-24-47: reconnect = flag to indicate one or more reconnects occurred
2022-03-17T15-24-47: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)], [Latency in Window], [Packet Loss percentage in Window], [Jitter in Window], [Overall Latency Min], [Overall Latency Max], [Latency Min in Window], [Latency Maxin Window], [Latency packet Samples], [Jitter Packet Samples],[reconnect]
307416,X.X.X.X,1951275,531895,23978,122955,0,6283,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,6278,6278,0
317429,X.X.X.X,2064426,554199,22304,113151,0,6553,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,6548,6548,0
327442,X.X.X.X,2147481,573568,19369,83055,0,6822,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,6817,6817,0
337454,X.X.X.X,2253153,595012,21444,105672,0,7088,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,7084,7084,0
347467,X.X.X.X,2347768,617301,22289,94615,0,7372,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,7367,7367,0
357479,X.X.X.X,2444446,639461,22160,96678,0,7652,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,7647,7647,0
367492,X.X.X.X,2534350,661421,21960,89904,0,7943,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,7937,7937,0
377504,X.X.X.X,2619109,683627,22206,84759,0,8239,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,8234,8234,0
387512,X.X.X.X,2709096,706005,22378,89987,0,8520,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,8515,8515,0
397524,X.X.X.X,2790469,727076,21071,81373,0,8809,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,8805,8805,0
407537,X.X.X.X,2859485,747949,20873,69016,0,9095,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,9091,9091,0
417542,X.X.X.X,3000407,772434,24485,140922,0,9400,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,9396,9396,0
427547,X.X.X.X,3138232,795959,23525,137825,0,9691,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,9686,9686,0
437551,X.X.X.X,3242646,818103,22144,104414,0,9983,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,9979,9979,0
447563,X.X.X.X,3327164,839173,21070,84518,0,10265,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,10261,10261,0
457576,X.X.X.X,3426489,861271,22098,99325,0,10551,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,10546,10546,0
467578,X.X.X.X,3543071,882845,21574,116582,0,10823,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,10818,10818,0
477590,X.X.X.X,3626545,901082,18237,83474,0,11070,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,11065,11065,0
487602,X.X.X.X,3696281,921083,20001,69736,0,11326,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,11322,11322,0
497604,X.X.X.X,3760014,944936,23853,63733,0,11584,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,11579,11579,0
507617,X.X.X.X,3841609,967121,22185,81595,0,11842,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,11837,11837,0
517629,X.X.X.X,3926268,989323,22202,84659,0,12140,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,12136,12136,0
527642,X.X.X.X,4048687,1012448,23125,122419,0,12432,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,12427,12427,0
537655,X.X.X.X,4154761,1033737,21289,106074,0,12727,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,12723,12723,0
547667,X.X.X.X,4253005,1054678,20941,98244,0,13005,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,12999,12999,0
557680,X.X.X.X,4344143,1077120,22442,91138,0,13300,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,13295,13295,0
567693,X.X.X.X,4451248,1099696,22576,107105,0,13592,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,13586,13586,0
577706,X.X.X.X,4546523,1121590,21894,95275,0,13871,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,13867,13867,0
587718,X.X.X.X,4632355,1143278,21688,85832,0,14155,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,14151,14151,0
597732,X.X.X.X,4716923,1165271,21993,84568,0,14445,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,14440,14440,0
607747,X.X.X.X,4842537,1200496,35225,125614,0,14778,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,14772,14772,0
617751,X.X.X.X,4988955,1235086,34590,146418,0,15085,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,15079,15079,0
627763,X.X.X.X,5057408,1254106,19020,68453,0,15319,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,15316,15316,0
637775,X.X.X.X,5133148,1274452,20346,75740,0,15564,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,15559,15559,0
647788,X.X.X.X,5194787,1295834,21382,61639,0,15828,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,15823,15823,0
657801,X.X.X.X,5288294,1317919,22085,93507,0,16093,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,16088,16088,0
667803,X.X.X.X,5381743,1339560,21641,93449,0,16371,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,16366,16366,0
677816,X.X.X.X,5470579,1362866,23306,88836,0,16665,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,16660,16660,0
687828,X.X.X.X,5566454,1383973,21107,95875,0,16952,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,16948,16948,0
697841,X.X.X.X,5653567,1404477,20504,87113,0,17233,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,17228,17228,0
707856,X.X.X.X,5746132,1426728,22251,92565,0,17538,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,17534,17534,0
717869,X.X.X.X,5869544,1449159,22431,123412,0,17825,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,17820,17820,0
727882,X.X.X.X,5971899,1471589,22430,102355,0,18128,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,18123,18123,0
737894,X.X.X.X,6051327,1493037,21448,79428,0,18420,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,18415,18415,0
747907,X.X.X.X,6133800,1513837,20800,82473,0,18705,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,18701,18701,0
757919,X.X.X.X,6213127,1536127,22290,79327,0,18996,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,18992,18992,0
767932,X.X.X.X,6325448,1559328,23201,112321,0,19300,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,19295,19295,0
777948,X.X.X.X,6499150,1585662,26334,173702,0,19576,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,19572,19572,0
787960,X.X.X.X,6594317,1606350,20688,95167,0,19845,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,19841,19841,0
797973,X.X.X.X,6682075,1626765,20415,87758,0,20121,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,20115,20115,0
807978,X.X.X.X,6773218,1649189,22424,91143,0,20411,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,20406,20406,0
817991,X.X.X.X,6888764,1672982,23793,115546,0,20711,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,20708,20708,0
828004,X.X.X.X,7026260,1696947,23965,137496,0,21002,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,20997,20997,0
